Dataset,Tipo,Características Principales,Acceso,Relevancia para Proyecto,Licencia
DAiSEE,Video - Engagement/Affective States,"9,068 videos, 112 usuarios, 10 seg/clip, etiquetas: Engagement, Boredom, Confusion, Frustration (4 niveles)",https://people.iith.ac.in/vineethnb/resources/daisee/,"ALTÍSIMA - Estados: 'Atención' (High Eng.), 'Distracción' (Low Eng.). Benchmark estándar.",Creative Commons / Research Use
FER2013,Facial Images - Emotion Recognition,"35,887 imágenes faciales, 48x48 px, 7 emociones",https://www.kaggle.com/datasets/msambare/fer2013,"ALTA - Mapeo a estado 'Otros' con emociones (Angry, Surprise) y Pre-entrenamiento.",CC0 - Public Domain
NTHU-DDD (Driver Drowsiness),Video - Fatiga/Somnolencia,"Videos IR/RGB, simulación de fatiga (bostezos, ojos cerrados, cabeceo).",https://cv.cs.nthu.edu.tw/php/callforpaper/datasets/DDD/,"ALTÍSIMA - Específico para estado 'Fatiga' (signos físicos reales).",Research Use (Fill Request Form)
DIPSER,Video - In-Person Student Engagement,"RGB + Smartwatch data, múltiples cámaras/estudiante, facial + postural, aula real",arXiv:2502.20209 (Contact Authors),"ALTÍSIMA - In-person classroom, multimodal facial+postural, reciente 2025",Research Use (Contactar)
BAUM-1 (BAU Multimodal),"Video - Multimodal (RGB, Thermal)","Video RGB + Thermal, expresiones faciales, tono de voz, anotaciones de emoción",https://baum.ise.bgu.ac.il/,"ALTA - Análisis multimodal (visual + audio), emociones",Research Use (Contactar)
EngageNet,Video - Large-scale Engagement,"31 horas, 127 participantes, múltiples iluminaciones, features: gaze, head pose, action units",arXiv:2302.00431 (Contact Authors),"ALTÍSIMA - Engagement a gran escala, acción units, gaze, pose",Research Use (Contactar)
IEMOCAP,Video - Speech/Facial - Emotion,"10,039 videos, 151 actores, diálogos emocionales, anotaciones multimodales",https://sail.usc.edu/iemocap/,MEDIA - Multimodal pero enfocado en actores no estudiantes reales,Research Use (Contactar)
EmotiW (Engagement Prediction),Video - Engagement in E-learning,"Derivado de DAiSEE, enfocado en predicción de engagement, 4 niveles",https://www.kaggle.com/datasets/emotionprediction/emotiw-2015,"ALTÍSIMA - Especializado en engagement e-learning, etiquetas de 4 niveles",CC - Academic Use
Student Engagement Dataset (ICCV),Video - Classroom Engagement,"Caras de estudiantes + gestos resolviendo problemas, etiquetas: Engaged, Wandering",ICCV 2021 Workshop (Contact Authors),"ALTÍSIMA - Engagement en aula real, enfoque en atención vs distracción",Research Use
ACII Dataset,Video - Affective Computing,"Múltiples datasets afectivos combinados, videos naturales",Multiple sources compiled,"MEDIA - General affective computing, menos específico",Varies
YouTube Faces (YTF),Facial Images - In-the-wild,"3,425 videos de caras, variabilidad de poses, iluminación, expresiones",https://www.cs.tau.ac.il/~wolf/ytfaces/,"MEDIA - Reconocimiento facial, menos relevante para engagement",CC By Attribution
